name,key_skills,salary_from,salary_to,salary_currency,area_name,published_at
Senior java back end developer (HL RIA),,,,,Новосибирск,2013-04-24T14:46:23+0400
Senior java back end developer (HL RIA),,,,,Самара,2013-04-24T14:46:23+0400
Senior java back end developer (HL RIA),,,,,Барнаул,2013-04-24T14:46:23+0400
Веб-разработчик ERP систем (backend),,25000.0,60000.0,RUR,Нижний Новгород,2013-06-05T08:17:46+0400
Senior backend-developer (php),,55000.0,,RUR,Пермь,2013-09-25T14:52:48+0400
Программист php (yii),,,,,Минск,2013-01-24T14:01:48+0400
Инженер-программист Java (backend),,60000.0,80000.0,RUR,Нижний Новгород,2013-07-11T14:30:55+0400
"C# разработчик (backend, ASP.NET)",,90000.0,130000.0,RUR,Москва,2013-09-22T08:38:38+0400
Программист python / django,,50000.0,80000.0,RUR,Санкт-Петербург,2013-01-15T17:26:16+0400
Программист symfony 1.4,,50000.0,,RUR,Санкт-Петербург,2013-01-28T19:13:48+0400
Разработчик python/django,,,120000.0,RUR,Москва,2013-09-05T08:41:39+0400
PHP backend разработчик,,30000.0,,RUR,Москва,2013-09-05T08:41:39+0400
Программист web GUI/backend,,40000.0,80000.0,RUR,Москва,2013-04-22T17:18:35+0400
C# разработчик (backend),,90000.0,130000.0,RUR,Москва,2013-11-27T08:12:38+0400
Java homer developer (backend),,,,,Москва,2013-05-07T15:49:52+0400
Lead Java Developer (back end),,,,,Минск,2013-10-29T11:59:42+0400
Senior java back end developer (HL RIA),,,,,Москва,2013-04-24T14:16:13+0400
Lead Java Developer (back end),,,,,Минск,2013-11-29T16:19:48+0400
Web Services - разработчик (backend),,,,,Москва,2013-10-23T21:49:44+0400
Программист PHP+yii/php-программист,,,,,Москва,2013-03-11T17:21:12+0400
Senior PHP программист (symfony 2.x),,1800.0,1800.0,USD,Минск,2013-08-12T11:27:10+0400
Web-программист frontent/backend Python jQuery,,60000.0,120000.0,RUR,Киев,2013-08-12T23:26:21+0400
Программист php (yii),,,,,Минск,2013-04-04T13:59:57+0400
Python developer (back end разработчик),,,,,Челябинск,2013-10-30T09:16:59+0400
Senior backend Developer,,,,,Одесса,2013-12-12T17:55:14+0400
C# разработчик (backend),,90000.0,130000.0,RUR,Москва,2013-11-28T16:53:33+0400
PHP-программист (backend-developer),,,,,Москва,2013-12-11T16:38:12+0400
Junior разработчик python/django,,50000.0,,RUR,Москва,2013-07-10T08:42:58+0400
Программист php (yii),,,,,Минск,2013-06-04T14:06:40+0400
Разработчик python/django,,,120000.0,RUR,Москва,2013-10-11T08:40:36+0400
Senior Python Developer (backend),,,,,Днепр (Днепропетровск),2013-07-23T19:30:38+0400
Python/django-разработчик,,,,,Москва,2013-08-06T08:06:32+0400
PHP-программист (backend-developer),,,,,Москва,2013-10-11T18:11:47+0400
Senior Java back end Developer for Playtech Poker,,,,,Киев,2013-10-04T11:54:27+0400
Веб программист django python,,1500.0,3000.0,USD,Киев,2013-10-25T13:16:50+0400
Ruby on Rails разработчик (100% backend) возможна удаленка,,80000.0,120000.0,RUR,Москва,2013-03-25T17:05:22+0400
Senior Python Developer (backend),,,,,Киев,2013-06-05T14:50:47+0400
Руководитель команды - разработчик PHP yii,,120000.0,150000.0,RUR,Москва,2013-06-05T16:34:15+0400
Разработчик python/django,,,120000.0,RUR,Москва,2013-10-17T10:13:26+0400
Php-разработчик (backend),,1000.0,,BYR,Минск,2013-11-20T14:47:57+0400
Ruby Web developer (backend),,,,,Санкт-Петербург,2013-03-04T14:44:11+0400
Web-developer Python/JavaScript (верстка+backend),,,,,Нижний Новгород,2013-10-05T08:11:05+0400
Программист python \ django,,70000.0,,RUR,Москва,2013-02-13T18:12:13+0400
Ведущий программист python / django,,100000.0,,RUR,Москва,2013-02-14T10:56:54+0400
Senior backend ASP.NET developer,,,,,Минск,2013-06-27T15:10:25+0400
Senior Python Developer (backend),,,,,Днепр (Днепропетровск),2013-06-03T15:57:56+0400
Web Services - разработчик (backend),,,,,Москва,2013-11-25T20:45:58+0400
Javascript backend Developer (Node.js),,,180000.0,RUR,Москва,2013-09-16T18:52:47+0400
Рhp yii разработчик на удаленную занятость,,60000.0,,RUR,Москва,2013-08-19T09:10:16+0400
Разработчик WEB-приложений (backend),,,,,Москва,2013-03-04T11:47:20+0400
Php \ yii \ jquery программист в компанию,,,600.0,USD,Харьков,2013-03-09T09:40:35+0400
Php \ yii \ jquery программист в компанию,,,600.0,USD,Киев,2013-03-09T09:42:21+0400
Php \ yii \ jquery программист в компанию,,,600.0,USD,Луганск,2013-03-09T09:43:33+0400
Php \ yii \ jquery программист в компанию,,,600.0,USD,Лисичанск,2013-03-09T09:44:23+0400
Php \ yii \ jquery программист в компанию,,,600.0,USD,Львов,2013-03-09T09:45:13+0400
Инженер-программист Java (backend),,60000.0,80000.0,RUR,Нижний Новгород,2013-02-09T08:23:13+0400
Инженер-программист Java (backend),,60000.0,80000.0,RUR,Нижний Новгород,2013-06-09T08:28:54+0400
Senior Java Developer (back end),,,,,Харьков,2013-01-30T13:29:18+0400
Leading Java backend developer for Open API,,,,,Киев,2013-06-12T17:09:21+0400
Веб-разработчик ERP систем (backend),,25000.0,60000.0,RUR,Нижний Новгород,2013-07-13T08:46:31+0400
Разработчик python/django,,80000.0,,RUR,Москва,2013-02-07T15:49:05+0400
Web-программист (backend),,,,,Санкт-Петербург,2013-10-27T08:28:27+0400
Программист python/django,,50000.0,70000.0,RUR,Санкт-Петербург,2013-09-14T08:54:40+0400
Leading Java backend developer for Open API,,,,,Киев,2013-10-07T12:17:18+0400
Разработчик backend ASP.NET MVC,,90000.0,120000.0,RUR,Москва,2013-07-30T08:43:16+0400
Poker backend development manager for PlayTech,,,,,Киев,2013-05-08T11:35:14+0400
Ведущий программист python / django,,,,,Москва,2013-06-05T10:00:00+0400
Senior/Regular Linux backend/media services Developer,,,,,Киев,2013-03-05T19:21:16+0400
Инженер по тестированию backend- приложений,,,,,Москва,2014-09-15T13:14:16+0400
Ведущий бэкенд разработчик на Java,,40000.0,80000.0,RUR,Пермь,2014-01-08T20:40:00+0400
QA / AutoQA for REST API backend,,,,,Москва,2014-09-01T16:55:45+0400
Программист для yii-проекта,,30000.0,,RUR,Москва,2014-10-03T16:38:06+0400
PHP-программист (symfony),,100000.0,150000.0,RUR,Москва,2014-07-12T08:52:55+0400
Ведущий бэкенд разработчик на Java,,50000.0,80000.0,RUR,Пермь,2014-09-02T23:10:50+0400
Разработчик python backend для web,,110000.0,150000.0,RUR,Москва,2014-12-14T09:10:15+0300
PHP-разработчик (backend),,40000.0,,RUR,Томск,2014-07-21T02:24:32+0400
Frontend + backend разработчик,,80000.0,,RUR,Санкт-Петербург,2014-11-29T14:29:40+0300
PHP-разработчик (backend разработчик),,80000.0,120000.0,RUR,Москва,2014-09-15T11:15:36+0400
Программист php (yii),,1000.0,,USD,Харьков,2014-09-15T12:12:39+0400
Программист php (yii),,1000.0,,USD,Киев,2014-09-15T12:13:11+0400
"Программист Python, CMS системs на django",,20000.0,40000.0,RUR,Ставрополь,2014-05-13T09:54:52+0400
Frontend-backend программист PHP,,40000.0,60000.0,RUR,Первоуральск,2014-07-27T07:35:10+0400
.NET Developer (backend),,80000.0,,RUR,Санкт-Петербург,2014-11-20T13:59:10+0300
Ruby on Rails backend разработчик,,50000.0,90000.0,RUR,Санкт-Петербург,2014-02-18T12:35:59+0400
PHP-разработчик (backend),,40000.0,,RUR,Томск,2014-06-19T02:52:53+0400
Разработчик Java (backend),,,80000.0,RUR,Москва,2014-09-30T14:49:02+0400
PHP-разработчик (backend),,40000.0,,RUR,Томск,2014-05-19T02:27:51+0400
Java-разработчик младшего/среднего уровня(junior/middle backend Java developer),,,,,Москва,2014-04-28T10:54:46+0400
Ведущий программист C#(backend),,,,,Санкт-Петербург,2014-12-01T09:14:31+0300
PHP-разработчик (backend),,40000.0,,RUR,Томск,2014-02-14T06:03:06+0400
Веб-разработчик (backend),,4000.0,6000.0,UAH,Кременчуг,2014-03-25T18:19:50+0400
Senior backend Developer,,,,,Одесса,2014-03-21T14:50:39+0400
Experienced Drupal back end Developer for eBuilders,,,,,Киев,2014-09-04T20:17:52+0400
PHP-программист (yii),,30000.0,,RUR,Екатеринбург,2014-04-01T12:49:19+0400
"Программист Python, CMS системs на django",,30000.0,40000.0,RUR,Ставрополь,2014-09-26T16:08:41+0400
C++ backend developer (linux),,,,,Минск,2014-11-11T18:07:24+0300
"Программист Python, CMS системs на django",,20000.0,40000.0,RUR,Ставрополь,2014-02-21T09:28:15+0400
Инженер по тестированию backend-приложений,,,,,Москва,2014-05-07T14:11:13+0400
Программист python/django,,50000.0,75000.0,RUR,Москва,2014-05-13T13:02:44+0400
"PHP-разработчик (backend, symfony)",,1000.0,2300.0,USD,Минск,2014-05-20T17:34:28+0400
"PHP-разработчик (backend, symfony)",,1000.0,2300.0,USD,Минск,2014-05-20T17:34:28+0400
"Программист Знание: python, django, javascipt, html, css",,15000.0,40000.0,RUR,Тюмень,2014-05-27T14:01:13+0400
Программист php / symfony 2,,70000.0,90000.0,RUR,Москва,2014-06-26T08:02:16+0400
Ведущий бэкенд-программист на Python c Django — работа над стартапами,,2000.0,3000.0,USD,Новосибирск,2014-11-05T23:29:02+0300
PHP-разработчик (backend),,40000.0,,RUR,Томск,2014-12-12T04:46:14+0300
Python/django-разработчик,,60000.0,,RUR,Санкт-Петербург,2014-02-10T18:19:03+0400
Программист backend,,25000.0,,RUR,Казань,2014-10-08T17:53:53+0400
"Программист java, python + django + jQuery",,25000.0,45000.0,RUR,Тула,2014-07-10T08:43:27+0400
"Программист java, python + django + jQuery",,25000.0,45000.0,RUR,Киреевск,2014-07-10T08:43:18+0400
"Программист java, python + django + jQuery",,25000.0,45000.0,RUR,Щекино,2014-07-10T08:43:23+0400
"Программист java, python + django + jQuery",,25000.0,45000.0,RUR,Ясногорск,2014-07-10T08:43:36+0400
"Программист java, python + django + jQuery",,25000.0,45000.0,RUR,Советск (Тульская область),2014-07-10T08:43:43+0400
"Программист java, python + django + jQuery",,25000.0,45000.0,RUR,Болохово,2014-07-10T08:43:32+0400
Java backend developer,,,,,Москва,2014-05-29T10:56:21+0400
Ведущий бэкенд разработчик на Java,,50000.0,80000.0,RUR,Пермь,2014-07-09T22:47:36+0400
Frontend-разработчик (symfony 2),,,,,Омск,2014-03-13T08:13:32+0400
Java developer  (backend & server-side),,,,,Киев,2014-12-13T13:29:18+0300
Web-developer Python/JavaScript (верстка+backend),,,,,Нижний Новгород,2014-01-11T08:58:00+0400
Web Services - Python/Django разработчик (backend),,,,,Москва,2014-07-24T18:18:14+0400
PHP-программист (backend-developer),,,,,Москва,2014-02-26T17:52:57+0400
Ведущий Java программист (back end),,1600.0,2200.0,USD,Минск,2014-03-11T13:52:20+0400
Back-end php yii программист,,80000.0,100000.0,RUR,Москва,2014-08-18T14:04:50+0400
Руководитель группы разработки бекендов облачной платформы,,,,,Москва,2014-12-04T14:26:36+0300
PHP-разработчик (backend),,40000.0,,RUR,Томск,2014-08-21T03:41:03+0400
"Старший разработчик backend .NET, ASP.NET (C#)",,75000.0,130000.0,RUR,Санкт-Петербург,2014-08-21T19:28:16+0400
Программист php / symfony 2,,70000.0,90000.0,RUR,Москва,2014-07-30T08:29:25+0400
Программист php (yii),,1000.0,,USD,Киев,2014-06-23T13:35:24+0400
Программист php (yii),,1000.0,,USD,Харьков,2014-06-23T13:37:13+0400
"Senior java developer backend (USA, H1B)",,7000.0,10000.0,USD,США,2014-02-24T15:34:02+0400
Программист php (yii),,800.0,1200.0,USD,Киев,2014-03-04T18:13:09+0400
Разработчик python backend,,,,,Москва,2014-12-09T15:23:00+0300
Администратор баз данных и бэкенд разработчик,,,,,Нур-Султан,2014-11-18T16:39:50+0300
Администратор баз данных и бэкенд разработчик,,,,,Нур-Султан,2014-11-19T08:56:17+0300
PHP \ JS программист (backend\frontend),,,,,Минск,2014-09-19T11:37:10+0400
PHP/Magento backend developer,,1500.0,2500.0,USD,Киев,2014-07-12T15:06:34+0400
PHP-разработчик (backend),,40000.0,,RUR,Томск,2014-03-18T10:00:07+0400
Разработчик 1С-Bitrix ( backend),,,50000.0,RUR,Ярославль,2014-08-07T17:24:14+0400
Frontend и backend разработчик,,,,,Владивосток,2014-12-10T09:13:04+0300
Ведущий бэкенд разработчик на Java,,50000.0,80000.0,RUR,Пермь,2014-11-04T14:44:45+0300
Java backend developer,,,,,Москва,2014-06-05T14:23:12+0400
"Программист back end, java",,1300.0,3000.0,USD,Минск,2014-10-21T23:26:12+0400
Web-разработчик Python/django,,,,,Смоленск,2014-10-22T14:59:44+0400
Java-разработчик младшего/среднего уровня(junior/middle backend Java developer),,,,,Москва,2014-04-11T09:55:17+0400
Java backend developer,,,,,Москва,2014-04-02T13:26:44+0400
Программист PHP+yii/php-программист,,,,,Москва,2014-02-05T07:50:52+0400
